community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_id3acald_e	0.0	0.0	1	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_ile__L_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_inost_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_k_e	0.0	1.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_lac__L_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_lcts_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_leu__L_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_lmn2_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_lys__L_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_mal__L_e	0.0	0.01	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_malt_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_malthp_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_malttr_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_maltttr_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_man1p_e	0.0	0.0	1	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_man_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_melib_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_meoh_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_met__L_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_mg2_e	0.0	1.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_mn2_e	0.0	1.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_mnl_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_mobd_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_mso3_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein4p3p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein4p4p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein4px4p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein4px4px4p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein5p3p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein5p4p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein5p5p5p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein5p5p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein5px3p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein5px4p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_murein5px4px4p_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_n2o_e	0.0	0.0	0	0.0
all	minimal	GCF_000020605.1_ASM2060v1_protein.faa.gz	GCF_002834225.1_ASM283422v1_protein.faa.gz	M_nh4_e	0.0	0.04	1	0.0
